"STATISTIC Label","Year","Age Group","Sex","Inward or Outward Flow","UNIT","VALUE"
"Estimated Migration (Persons in April)","2005","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","10.6"
"Estimated Migration (Persons in April)","2005","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","44.8"
"Estimated Migration (Persons in April)","2005","25 - 44 years","Male","Net migration","Thousand","21.2"
"Estimated Migration (Persons in April)","2005","25 - 44 years","Male","Emigrants: All destinations","Thousand","6.1"
"Estimated Migration (Persons in April)","2005","25 - 44 years","Male","Immigrants: All origins","Thousand","27.3"
"Estimated Migration (Persons in April)","2005","25 - 44 years","Female","Net migration","Thousand","12.9"
"Estimated Migration (Persons in April)","2005","25 - 44 years","Female","Emigrants: All destinations","Thousand","4.5"
"Estimated Migration (Persons in April)","2005","25 - 44 years","Female","Immigrants: All origins","Thousand","17.5"
"Estimated Migration (Persons in April)","2005","45 - 64 years","Both sexes","Net migration","Thousand","4.7"
"Estimated Migration (Persons in April)","2005","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","1.5"
"Estimated Migration (Persons in April)","2005","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","6.1"
"Estimated Migration (Persons in April)","2005","45 - 64 years","Male","Net migration","Thousand","3"
"Estimated Migration (Persons in April)","2005","45 - 64 years","Male","Emigrants: All destinations","Thousand","0.6"
"Estimated Migration (Persons in April)","2005","45 - 64 years","Male","Immigrants: All origins","Thousand","3.7"
"Estimated Migration (Persons in April)","2005","45 - 64 years","Female","Net migration","Thousand","1.6"
"Estimated Migration (Persons in April)","2005","45 - 64 years","Female","Emigrants: All destinations","Thousand","0.8"
"Estimated Migration (Persons in April)","2005","45 - 64 years","Female","Immigrants: All origins","Thousand","2.5"
"Estimated Migration (Persons in April)","2005","65 years and over","Both sexes","Net migration","Thousand","0.3"
"Estimated Migration (Persons in April)","2005","65 years and over","Both sexes","Emigrants: All destinations","Thousand","0.9"
"Estimated Migration (Persons in April)","2005","65 years and over","Both sexes","Immigrants: All origins","Thousand","1.2"
"Estimated Migration (Persons in April)","2005","65 years and over","Male","Net migration","Thousand","0.2"
"Estimated Migration (Persons in April)","2005","65 years and over","Male","Emigrants: All destinations","Thousand","0.4"
"Estimated Migration (Persons in April)","2005","65 years and over","Male","Immigrants: All origins","Thousand","0.6"
"Estimated Migration (Persons in April)","2005","65 years and over","Female","Net migration","Thousand","0.1"
"Estimated Migration (Persons in April)","2005","65 years and over","Female","Emigrants: All destinations","Thousand","0.5"
"Estimated Migration (Persons in April)","2005","65 years and over","Female","Immigrants: All origins","Thousand","0.6"
"Estimated Migration (Persons in April)","2006","All ages","Both sexes","Net migration","Thousand","71.8"
"Estimated Migration (Persons in April)","2006","All ages","Both sexes","Emigrants: All destinations","Thousand","36"
"Estimated Migration (Persons in April)","2006","All ages","Both sexes","Immigrants: All origins","Thousand","107.8"
"Estimated Migration (Persons in April)","2006","All ages","Male","Net migration","Thousand","41.6"
"Estimated Migration (Persons in April)","2006","All ages","Male","Emigrants: All destinations","Thousand","18.7"
"Estimated Migration (Persons in April)","2006","All ages","Male","Immigrants: All origins","Thousand","60.3"
"Estimated Migration (Persons in April)","2006","All ages","Female","Net migration","Thousand","30.2"
"Estimated Migration (Persons in April)","2006","All ages","Female","Emigrants: All destinations","Thousand","17.3"
"Estimated Migration (Persons in April)","2006","All ages","Female","Immigrants: All origins","Thousand","47.5"
"Estimated Migration (Persons in April)","2006","0 - 14 years","Both sexes","Net migration","Thousand","9.3"
"Estimated Migration (Persons in April)","2006","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","2.2"
"Estimated Migration (Persons in April)","2006","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","11.5"
"Estimated Migration (Persons in April)","2006","0 - 14 years","Male","Net migration","Thousand","4.4"
"Estimated Migration (Persons in April)","2006","0 - 14 years","Male","Emigrants: All destinations","Thousand","1.1"
"Estimated Migration (Persons in April)","2006","0 - 14 years","Male","Immigrants: All origins","Thousand","5.5"
"Estimated Migration (Persons in April)","2006","0 - 14 years","Female","Net migration","Thousand","5"
"Estimated Migration (Persons in April)","2006","0 - 14 years","Female","Emigrants: All destinations","Thousand","1.1"
"Estimated Migration (Persons in April)","2006","0 - 14 years","Female","Immigrants: All origins","Thousand","6"
"Estimated Migration (Persons in April)","2006","15 - 24 years","Both sexes","Net migration","Thousand","15.6"
"Estimated Migration (Persons in April)","2006","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","15.9"
"Estimated Migration (Persons in April)","2006","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","31.6"
"Estimated Migration (Persons in April)","2006","15 - 24 years","Male","Net migration","Thousand","8.4"
"Estimated Migration (Persons in April)","2006","15 - 24 years","Male","Emigrants: All destinations","Thousand","8"
"Estimated Migration (Persons in April)","2006","15 - 24 years","Male","Immigrants: All origins","Thousand","16.4"
"Estimated Migration (Persons in April)","2006","15 - 24 years","Female","Net migration","Thousand","7.3"
"Estimated Migration (Persons in April)","2006","15 - 24 years","Female","Emigrants: All destinations","Thousand","7.9"
"Estimated Migration (Persons in April)","2006","15 - 24 years","Female","Immigrants: All origins","Thousand","15.2"
"Estimated Migration (Persons in April)","2006","25 - 44 years","Both sexes","Net migration","Thousand","43"
"Estimated Migration (Persons in April)","2006","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","14.1"
"Estimated Migration (Persons in April)","2006","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","57.2"
"Estimated Migration (Persons in April)","2006","25 - 44 years","Male","Net migration","Thousand","26.4"
"Estimated Migration (Persons in April)","2006","25 - 44 years","Male","Emigrants: All destinations","Thousand","7.6"
"Estimated Migration (Persons in April)","2006","25 - 44 years","Male","Immigrants: All origins","Thousand","34"
"Estimated Migration (Persons in April)","2006","25 - 44 years","Female","Net migration","Thousand","16.6"
"Estimated Migration (Persons in April)","2006","25 - 44 years","Female","Emigrants: All destinations","Thousand","6.5"
"Estimated Migration (Persons in April)","2006","25 - 44 years","Female","Immigrants: All origins","Thousand","23.2"
"Estimated Migration (Persons in April)","2006","45 - 64 years","Both sexes","Net migration","Thousand","4.1"
"Estimated Migration (Persons in April)","2006","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","2.1"
"Estimated Migration (Persons in April)","2006","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","6.1"
"Estimated Migration (Persons in April)","2006","45 - 64 years","Male","Net migration","Thousand","2.5"
"Estimated Migration (Persons in April)","2006","45 - 64 years","Male","Emigrants: All destinations","Thousand","1.2"
"Estimated Migration (Persons in April)","2006","45 - 64 years","Male","Immigrants: All origins","Thousand","3.7"
"Estimated Migration (Persons in April)","2006","45 - 64 years","Female","Net migration","Thousand","1.5"
"Estimated Migration (Persons in April)","2006","45 - 64 years","Female","Emigrants: All destinations","Thousand","0.9"
"Estimated Migration (Persons in April)","2006","45 - 64 years","Female","Immigrants: All origins","Thousand","2.4"
"Estimated Migration (Persons in April)","2006","65 years and over","Both sexes","Net migration","Thousand","-0.3"
"Estimated Migration (Persons in April)","2006","65 years and over","Both sexes","Emigrants: All destinations","Thousand","1.7"
"Estimated Migration (Persons in April)","2006","65 years and over","Both sexes","Immigrants: All origins","Thousand","1.4"
"Estimated Migration (Persons in April)","2006","65 years and over","Male","Net migration","Thousand","-0.1"
"Estimated Migration (Persons in April)","2006","65 years and over","Male","Emigrants: All destinations","Thousand","0.8"
"Estimated Migration (Persons in April)","2006","65 years and over","Male","Immigrants: All origins","Thousand","0.7"
"Estimated Migration (Persons in April)","2006","65 years and over","Female","Net migration","Thousand","-0.2"
"Estimated Migration (Persons in April)","2006","65 years and over","Female","Emigrants: All destinations","Thousand","0.9"
"Estimated Migration (Persons in April)","2006","65 years and over","Female","Immigrants: All origins","Thousand","0.7"
"Estimated Migration (Persons in April)","2007","All ages","Both sexes","Net migration","Thousand","104.8"
"Estimated Migration (Persons in April)","2007","All ages","Both sexes","Emigrants: All destinations","Thousand","46.3"
"Estimated Migration (Persons in April)","2007","All ages","Both sexes","Immigrants: All origins","Thousand","151.1"
"Estimated Migration (Persons in April)","2007","All ages","Male","Net migration","Thousand","54.3"
"Estimated Migration (Persons in April)","2007","All ages","Male","Emigrants: All destinations","Thousand","25.7"
"Estimated Migration (Persons in April)","2007","All ages","Male","Immigrants: All origins","Thousand","80"
"Estimated Migration (Persons in April)","2007","All ages","Female","Net migration","Thousand","50.4"
"Estimated Migration (Persons in April)","2007","All ages","Female","Emigrants: All destinations","Thousand","20.6"
"Estimated Migration (Persons in April)","2007","All ages","Female","Immigrants: All origins","Thousand","71.1"
"Estimated Migration (Persons in April)","2007","0 - 14 years","Both sexes","Net migration","Thousand","10"
"Estimated Migration (Persons in April)","2007","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","1.4"
"Estimated Migration (Persons in April)","2007","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","11.4"
"Estimated Migration (Persons in April)","2007","0 - 14 years","Male","Net migration","Thousand","4.8"
"Estimated Migration (Persons in April)","2007","0 - 14 years","Male","Emigrants: All destinations","Thousand","0.6"
"Estimated Migration (Persons in April)","2007","0 - 14 years","Male","Immigrants: All origins","Thousand","5.3"
"Estimated Migration (Persons in April)","2007","0 - 14 years","Female","Net migration","Thousand","5.3"
"Estimated Migration (Persons in April)","2007","0 - 14 years","Female","Emigrants: All destinations","Thousand","0.8"
"Estimated Migration (Persons in April)","2007","0 - 14 years","Female","Immigrants: All origins","Thousand","6.1"
"Estimated Migration (Persons in April)","2007","15 - 24 years","Both sexes","Net migration","Thousand","43.1"
"Estimated Migration (Persons in April)","2007","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","18.2"
"Estimated Migration (Persons in April)","2007","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","61.4"
"Estimated Migration (Persons in April)","2007","15 - 24 years","Male","Net migration","Thousand","20"
"Estimated Migration (Persons in April)","2007","15 - 24 years","Male","Emigrants: All destinations","Thousand","8.9"
"Estimated Migration (Persons in April)","2007","15 - 24 years","Male","Immigrants: All origins","Thousand","28.9"
"Estimated Migration (Persons in April)","2007","15 - 24 years","Female","Net migration","Thousand","23.1"
"Estimated Migration (Persons in April)","2007","15 - 24 years","Female","Emigrants: All destinations","Thousand","9.3"
"Estimated Migration (Persons in April)","2007","15 - 24 years","Female","Immigrants: All origins","Thousand","32.5"
"Estimated Migration (Persons in April)","2007","25 - 44 years","Both sexes","Net migration","Thousand","44.6"
"Estimated Migration (Persons in April)","2007","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","21.2"
"Estimated Migration (Persons in April)","2007","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","65.8"
"Estimated Migration (Persons in April)","2007","25 - 44 years","Male","Net migration","Thousand","25.3"
"Estimated Migration (Persons in April)","2007","25 - 44 years","Male","Emigrants: All destinations","Thousand","12.8"
"Estimated Migration (Persons in April)","2007","25 - 44 years","Male","Immigrants: All origins","Thousand","38.1"
"Estimated Migration (Persons in April)","2007","25 - 44 years","Female","Net migration","Thousand","19.3"
"Estimated Migration (Persons in April)","2007","25 - 44 years","Female","Emigrants: All destinations","Thousand","8.4"
"Estimated Migration (Persons in April)","2007","25 - 44 years","Female","Immigrants: All origins","Thousand","27.7"
"Estimated Migration (Persons in April)","2007","45 - 64 years","Both sexes","Net migration","Thousand","7.1"
"Estimated Migration (Persons in April)","2007","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","3"
"Estimated Migration (Persons in April)","2007","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","10.1"
"Estimated Migration (Persons in April)","2007","45 - 64 years","Male","Net migration","Thousand","4"
"Estimated Migration (Persons in April)","2007","45 - 64 years","Male","Emigrants: All destinations","Thousand","2"
"Estimated Migration (Persons in April)","2007","45 - 64 years","Male","Immigrants: All origins","Thousand","6"
"Estimated Migration (Persons in April)","2007","45 - 64 years","Female","Net migration","Thousand","3.1"
"Estimated Migration (Persons in April)","2007","45 - 64 years","Female","Emigrants: All destinations","Thousand","1.1"
"Estimated Migration (Persons in April)","2007","45 - 64 years","Female","Immigrants: All origins","Thousand","4.1"
"Estimated Migration (Persons in April)","2007","65 years and over","Both sexes","Net migration","Thousand","-0.1"
"Estimated Migration (Persons in April)","2007","65 years and over","Both sexes","Emigrants: All destinations","Thousand","2.5"
"Estimated Migration (Persons in April)","2007","65 years and over","Both sexes","Immigrants: All origins","Thousand","2.4"
"Estimated Migration (Persons in April)","2007","65 years and over","Male","Net migration","Thousand","0.2"
"Estimated Migration (Persons in April)","2007","65 years and over","Male","Emigrants: All destinations","Thousand","1.5"
"Estimated Migration (Persons in April)","2007","65 years and over","Male","Immigrants: All origins","Thousand","1.7"
"Estimated Migration (Persons in April)","2007","65 years and over","Female","Net migration","Thousand","-0.3"
"Estimated Migration (Persons in April)","2007","65 years and over","Female","Emigrants: All destinations","Thousand","1"
"Estimated Migration (Persons in April)","2007","65 years and over","Female","Immigrants: All origins","Thousand","0.7"
"Estimated Migration (Persons in April)","2008","All ages","Both sexes","Net migration","Thousand","64.3"
"Estimated Migration (Persons in April)","2008","All ages","Both sexes","Emigrants: All destinations","Thousand","49.2"
"Estimated Migration (Persons in April)","2008","All ages","Both sexes","Immigrants: All origins","Thousand","113.5"
"Estimated Migration (Persons in April)","2008","All ages","Male","Net migration","Thousand","24.4"
"Estimated Migration (Persons in April)","2008","All ages","Male","Emigrants: All destinations","Thousand","29.6"
"Estimated Migration (Persons in April)","2008","All ages","Male","Immigrants: All origins","Thousand","53.9"
"Estimated Migration (Persons in April)","2008","All ages","Female","Net migration","Thousand","39.9"
"Estimated Migration (Persons in April)","2008","All ages","Female","Emigrants: All destinations","Thousand","19.6"
"Estimated Migration (Persons in April)","2008","All ages","Female","Immigrants: All origins","Thousand","59.5"
"Estimated Migration (Persons in April)","2008","0 - 14 years","Both sexes","Net migration","Thousand","12.3"
"Estimated Migration (Persons in April)","2008","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","1.6"
"Estimated Migration (Persons in April)","2008","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","13.9"
"Estimated Migration (Persons in April)","2008","0 - 14 years","Male","Net migration","Thousand","5.8"
"Estimated Migration (Persons in April)","2008","0 - 14 years","Male","Emigrants: All destinations","Thousand","0.8"
"Estimated Migration (Persons in April)","2008","0 - 14 years","Male","Immigrants: All origins","Thousand","6.6"
"Estimated Migration (Persons in April)","2008","0 - 14 years","Female","Net migration","Thousand","6.5"
"Estimated Migration (Persons in April)","2008","0 - 14 years","Female","Emigrants: All destinations","Thousand","0.8"
"Estimated Migration (Persons in April)","2008","0 - 14 years","Female","Immigrants: All origins","Thousand","7.3"
"Estimated Migration (Persons in April)","2008","15 - 24 years","Both sexes","Net migration","Thousand","32.3"
"Estimated Migration (Persons in April)","2008","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","17.8"
"Estimated Migration (Persons in April)","2008","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","50"
"Estimated Migration (Persons in April)","2008","15 - 24 years","Male","Net migration","Thousand","13.7"
"Estimated Migration (Persons in April)","2008","15 - 24 years","Male","Emigrants: All destinations","Thousand","9.7"
"Estimated Migration (Persons in April)","2008","15 - 24 years","Male","Immigrants: All origins","Thousand","23.3"
"Estimated Migration (Persons in April)","2008","15 - 24 years","Female","Net migration","Thousand","18.6"
"Estimated Migration (Persons in April)","2008","15 - 24 years","Female","Emigrants: All destinations","Thousand","8.1"
"Estimated Migration (Persons in April)","2008","15 - 24 years","Female","Immigrants: All origins","Thousand","26.7"
"Estimated Migration (Persons in April)","2008","25 - 44 years","Both sexes","Net migration","Thousand","14.8"
"Estimated Migration (Persons in April)","2008","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","24"
"Estimated Migration (Persons in April)","2008","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","38.8"
"Estimated Migration (Persons in April)","2008","25 - 44 years","Male","Net migration","Thousand","3.1"
"Estimated Migration (Persons in April)","2008","25 - 44 years","Male","Emigrants: All destinations","Thousand","14.9"
"Estimated Migration (Persons in April)","2008","25 - 44 years","Male","Immigrants: All origins","Thousand","18"
"Estimated Migration (Persons in April)","2008","25 - 44 years","Female","Net migration","Thousand","11.7"
"Estimated Migration (Persons in April)","2008","25 - 44 years","Female","Emigrants: All destinations","Thousand","9.1"
"Estimated Migration (Persons in April)","2008","25 - 44 years","Female","Immigrants: All origins","Thousand","20.7"
"Estimated Migration (Persons in April)","2008","45 - 64 years","Both sexes","Net migration","Thousand","4.3"
"Estimated Migration (Persons in April)","2008","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","2.9"
"Estimated Migration (Persons in April)","2008","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","7.2"
"Estimated Migration (Persons in April)","2008","45 - 64 years","Male","Net migration","Thousand","2"
"Estimated Migration (Persons in April)","2008","45 - 64 years","Male","Emigrants: All destinations","Thousand","2.2"
"Estimated Migration (Persons in April)","2008","45 - 64 years","Male","Immigrants: All origins","Thousand","4.2"
"Estimated Migration (Persons in April)","2008","45 - 64 years","Female","Net migration","Thousand","2.4"
"Estimated Migration (Persons in April)","2008","45 - 64 years","Female","Emigrants: All destinations","Thousand","0.6"
"Estimated Migration (Persons in April)","2008","45 - 64 years","Female","Immigrants: All origins","Thousand","3"
"Estimated Migration (Persons in April)","2008","65 years and over","Both sexes","Net migration","Thousand","0.6"
"Estimated Migration (Persons in April)","2008","65 years and over","Both sexes","Emigrants: All destinations","Thousand","3"
"Estimated Migration (Persons in April)","2008","65 years and over","Both sexes","Immigrants: All origins","Thousand","3.6"
"Estimated Migration (Persons in April)","2008","65 years and over","Male","Net migration","Thousand","-0.2"
"Estimated Migration (Persons in April)","2008","65 years and over","Male","Emigrants: All destinations","Thousand","2"
"Estimated Migration (Persons in April)","2008","65 years and over","Male","Immigrants: All origins","Thousand","1.7"
"Estimated Migration (Persons in April)","2008","65 years and over","Female","Net migration","Thousand","0.8"
"Estimated Migration (Persons in April)","2008","65 years and over","Female","Emigrants: All destinations","Thousand","1"
"Estimated Migration (Persons in April)","2008","65 years and over","Female","Immigrants: All origins","Thousand","1.8"
"Estimated Migration (Persons in April)","2009","All ages","Both sexes","Net migration","Thousand","1.6"
"Estimated Migration (Persons in April)","2009","All ages","Both sexes","Emigrants: All destinations","Thousand","72"
"Estimated Migration (Persons in April)","2009","All ages","Both sexes","Immigrants: All origins","Thousand","73.7"
"Estimated Migration (Persons in April)","2009","All ages","Male","Net migration","Thousand","-5.1"
"Estimated Migration (Persons in April)","2009","All ages","Male","Emigrants: All destinations","Thousand","41.9"
"Estimated Migration (Persons in April)","2009","All ages","Male","Immigrants: All origins","Thousand","36.8"
"Estimated Migration (Persons in April)","2009","All ages","Female","Net migration","Thousand","6.7"
"Estimated Migration (Persons in April)","2009","All ages","Female","Emigrants: All destinations","Thousand","30.1"
"Estimated Migration (Persons in April)","2009","All ages","Female","Immigrants: All origins","Thousand","36.8"
"Estimated Migration (Persons in April)","2009","0 - 14 years","Both sexes","Net migration","Thousand","2.1"
"Estimated Migration (Persons in April)","2009","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","2.4"
"Estimated Migration (Persons in April)","2009","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","4.5"
"Estimated Migration (Persons in April)","2009","0 - 14 years","Male","Net migration","Thousand","1.1"
"Estimated Migration (Persons in April)","2009","0 - 14 years","Male","Emigrants: All destinations","Thousand","1.1"
"Estimated Migration (Persons in April)","2009","0 - 14 years","Male","Immigrants: All origins","Thousand","2.2"
"Estimated Migration (Persons in April)","2009","0 - 14 years","Female","Net migration","Thousand","1"
"Estimated Migration (Persons in April)","2009","0 - 14 years","Female","Emigrants: All destinations","Thousand","1.3"
"Estimated Migration (Persons in April)","2009","0 - 14 years","Female","Immigrants: All origins","Thousand","2.3"
"Estimated Migration (Persons in April)","2009","15 - 24 years","Both sexes","Net migration","Thousand","9.3"
"Estimated Migration (Persons in April)","2009","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","27.9"
"Estimated Migration (Persons in April)","2009","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","37.2"
"Estimated Migration (Persons in April)","2009","15 - 24 years","Male","Net migration","Thousand","1.4"
"Estimated Migration (Persons in April)","2009","15 - 24 years","Male","Emigrants: All destinations","Thousand","17.1"
"Estimated Migration (Persons in April)","2009","15 - 24 years","Male","Immigrants: All origins","Thousand","18.6"
"Estimated Migration (Persons in April)","2009","15 - 24 years","Female","Net migration","Thousand","7.8"
"Estimated Migration (Persons in April)","2009","15 - 24 years","Female","Emigrants: All destinations","Thousand","10.8"
"Estimated Migration (Persons in April)","2009","15 - 24 years","Female","Immigrants: All origins","Thousand","18.6"
"Estimated Migration (Persons in April)","2009","25 - 44 years","Both sexes","Net migration","Thousand","-11.1"
"Estimated Migration (Persons in April)","2009","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","37.5"
"Estimated Migration (Persons in April)","2009","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","26.4"
"Estimated Migration (Persons in April)","2009","25 - 44 years","Male","Net migration","Thousand","-9"
"Estimated Migration (Persons in April)","2009","25 - 44 years","Male","Emigrants: All destinations","Thousand","22"
"Estimated Migration (Persons in April)","2009","25 - 44 years","Male","Immigrants: All origins","Thousand","13"
"Estimated Migration (Persons in April)","2009","25 - 44 years","Female","Net migration","Thousand","-2.1"
"Estimated Migration (Persons in April)","2009","25 - 44 years","Female","Emigrants: All destinations","Thousand","15.5"
"Estimated Migration (Persons in April)","2009","25 - 44 years","Female","Immigrants: All origins","Thousand","13.4"
"Estimated Migration (Persons in April)","2009","45 - 64 years","Both sexes","Net migration","Thousand","0.3"
"Estimated Migration (Persons in April)","2009","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","3.1"
"Estimated Migration (Persons in April)","2009","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","3.3"
"Estimated Migration (Persons in April)","2009","45 - 64 years","Male","Net migration","Thousand","0.4"
"Estimated Migration (Persons in April)","2009","45 - 64 years","Male","Emigrants: All destinations","Thousand","1.2"
"Estimated Migration (Persons in April)","2009","45 - 64 years","Male","Immigrants: All origins","Thousand","1.6"
"Estimated Migration (Persons in April)","2009","45 - 64 years","Female","Net migration","Thousand","-0.1"
"Estimated Migration (Persons in April)","2009","45 - 64 years","Female","Emigrants: All destinations","Thousand","1.8"
"Estimated Migration (Persons in April)","2009","45 - 64 years","Female","Immigrants: All origins","Thousand","1.7"
"Estimated Migration (Persons in April)","2009","65 years and over","Both sexes","Net migration","Thousand","1"
"Estimated Migration (Persons in April)","2009","65 years and over","Both sexes","Emigrants: All destinations","Thousand","1.2"
"Estimated Migration (Persons in April)","2009","65 years and over","Both sexes","Immigrants: All origins","Thousand","2.3"
"Estimated Migration (Persons in April)","2009","65 years and over","Male","Net migration","Thousand","1"
"Estimated Migration (Persons in April)","2009","65 years and over","Male","Emigrants: All destinations","Thousand","0.4"
"Estimated Migration (Persons in April)","2009","65 years and over","Male","Immigrants: All origins","Thousand","1.4"
"Estimated Migration (Persons in April)","2009","65 years and over","Female","Net migration","Thousand","0.1"
"Estimated Migration (Persons in April)","2009","65 years and over","Female","Emigrants: All destinations","Thousand","0.8"
"Estimated Migration (Persons in April)","2009","65 years and over","Female","Immigrants: All origins","Thousand","0.9"
"Estimated Migration (Persons in April)","2010","All ages","Both sexes","Net migration","Thousand","-27.5"
"Estimated Migration (Persons in April)","2010","All ages","Both sexes","Emigrants: All destinations","Thousand","69.2"
"Estimated Migration (Persons in April)","2010","All ages","Both sexes","Immigrants: All origins","Thousand","41.8"
"Estimated Migration (Persons in April)","2010","All ages","Male","Net migration","Thousand","-20.2"
"Estimated Migration (Persons in April)","2010","All ages","Male","Emigrants: All destinations","Thousand","40.6"
"Estimated Migration (Persons in April)","2010","All ages","Male","Immigrants: All origins","Thousand","20.4"
"Estimated Migration (Persons in April)","2010","All ages","Female","Net migration","Thousand","-7.2"
"Estimated Migration (Persons in April)","2010","All ages","Female","Emigrants: All destinations","Thousand","28.7"
"Estimated Migration (Persons in April)","2010","All ages","Female","Immigrants: All origins","Thousand","21.4"
"Estimated Migration (Persons in April)","2010","0 - 14 years","Both sexes","Net migration","Thousand","-0.2"
"Estimated Migration (Persons in April)","2010","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","2"
"Estimated Migration (Persons in April)","2010","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","1.8"
"Estimated Migration (Persons in April)","2010","0 - 14 years","Male","Net migration","Thousand","0.4"
"Estimated Migration (Persons in April)","2010","0 - 14 years","Male","Emigrants: All destinations","Thousand","1"
"Estimated Migration (Persons in April)","2010","0 - 14 years","Male","Immigrants: All origins","Thousand","1.4"
"Estimated Migration (Persons in April)","2010","0 - 14 years","Female","Net migration","Thousand","-0.6"
"Estimated Migration (Persons in April)","2010","0 - 14 years","Female","Emigrants: All destinations","Thousand","1.1"
"Estimated Migration (Persons in April)","2010","0 - 14 years","Female","Immigrants: All origins","Thousand","0.5"
"Estimated Migration (Persons in April)","2010","15 - 24 years","Both sexes","Net migration","Thousand","-9.4"
"Estimated Migration (Persons in April)","2010","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","26.7"
"Estimated Migration (Persons in April)","2010","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","17.3"
"Estimated Migration (Persons in April)","2010","15 - 24 years","Male","Net migration","Thousand","-6.1"
"Estimated Migration (Persons in April)","2010","15 - 24 years","Male","Emigrants: All destinations","Thousand","13.7"
"Estimated Migration (Persons in April)","2010","15 - 24 years","Male","Immigrants: All origins","Thousand","7.6"
"Estimated Migration (Persons in April)","2010","15 - 24 years","Female","Net migration","Thousand","-3.3"
"Estimated Migration (Persons in April)","2010","15 - 24 years","Female","Emigrants: All destinations","Thousand","13"
"Estimated Migration (Persons in April)","2010","15 - 24 years","Female","Immigrants: All origins","Thousand","9.7"
"Estimated Migration (Persons in April)","2010","25 - 44 years","Both sexes","Net migration","Thousand","-17.7"
"Estimated Migration (Persons in April)","2010","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","36.5"
"Estimated Migration (Persons in April)","2010","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","18.8"
"Estimated Migration (Persons in April)","2010","25 - 44 years","Male","Net migration","Thousand","-13.1"
"Estimated Migration (Persons in April)","2010","25 - 44 years","Male","Emigrants: All destinations","Thousand","23"
"Estimated Migration (Persons in April)","2010","25 - 44 years","Male","Immigrants: All origins","Thousand","9.9"
"Estimated Migration (Persons in April)","2010","25 - 44 years","Female","Net migration","Thousand","-4.6"
"Estimated Migration (Persons in April)","2010","25 - 44 years","Female","Emigrants: All destinations","Thousand","13.5"
"Estimated Migration (Persons in April)","2010","25 - 44 years","Female","Immigrants: All origins","Thousand","8.8"
"Estimated Migration (Persons in April)","2010","45 - 64 years","Both sexes","Net migration","Thousand","-0.9"
"Estimated Migration (Persons in April)","2010","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","2.9"
"Estimated Migration (Persons in April)","2010","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","2"
"Estimated Migration (Persons in April)","2010","45 - 64 years","Male","Net migration","Thousand","-1.7"
"Estimated Migration (Persons in April)","2010","45 - 64 years","Male","Emigrants: All destinations","Thousand","2.4"
"Estimated Migration (Persons in April)","2010","45 - 64 years","Male","Immigrants: All origins","Thousand","0.8"
"Estimated Migration (Persons in April)","2010","45 - 64 years","Female","Net migration","Thousand","0.8"
"Estimated Migration (Persons in April)","2010","45 - 64 years","Female","Emigrants: All destinations","Thousand","0.5"
"Estimated Migration (Persons in April)","2010","45 - 64 years","Female","Immigrants: All origins","Thousand","1.3"
